Survey ID RA Dec zbest zflag beta_UV beta_UV_err beta_opt beta_opt_err mag444 m_uv M_UV
JADES 430 53.161372 -27.737666 6.79 0 -1.53 0.12 0.8 0.03 25.1 27.58 -19.31
JADES 534 53.158183 -27.739128 6.1 0 -1.32 0.25 2.02 0.06 25.58 28.57 -18.15
JADES 903 53.184783 -27.744047 5.05 0 -2.24 0.44 0.49 0.09 26.79 28.93 -17.48
JADES 2632 53.179218 -27.758732 5.98 0 -1.64 0.18 0.27 0.06 26.08 27.96 -18.73
JADES 3856 53.190768 -27.767884 7.33 0 -2.25 0.26 0.28 0.15 27.71 28.73 -18.28
JADES 4454 53.166111 -27.772041 6.34 0 -1.82 0.19 0.01 0.09 26.22 27.92 -18.86
JADES 4461 53.203994 -27.772098 7.51 0 -1.81 0.35 2.21 0.06 25.9 29.02 -18.02
JADES 6698 53.126898 -27.786151 7.24 0 -1.05 0.28 1.94 0.04 25.45 29.1 -17.89
JADES 6923 53.125427 -27.787437 4.99 0 -1.37 0.42 0.67 0.03 25.84 29.84 -16.56
JADES 8103 53.12142 -27.794912 7.51 0 -0.41 0.48 2.17 0.05 26.17 30.17 -16.88
JADES 8275 53.175596 -27.79589 5.59 0 -2.03 0.33 0.27 0.14 26.81 28.04 -18.54
JADES 8646 53.111539 -27.798072 4.15 0 -1.85 0.38 0.07 0.1 26.84 28.85 -17.23
JADES 10491 53.145293 -27.808666 2.89 0 -1.37 0.29 0.84 0.06 25.77 29.08 -16.37
JADES 11027 53.159331 -27.811751 4.87 0 -2.5 0.2 0.24 0.06 26.69 28.2 -18.15
JADES 11125 53.06768 -27.812331 4.63 0 -1.96 0.04 0.73 0.02 23.98 26.02 -20.25
JADES 12068 53.126537 -27.818091 5.92 1 -2.31 0.19 0.62 0.08 26.03 27.58 -19.09
JADES 14445 53.086974 -27.831901 6.16 0 -1.81 0.25 1.19 0.09 26.19 28.31 -18.43
JADES 14655 53.073157 -27.83313 7.33 0 -1.58 0.36 0.21 0.12 26.68 28.11 -18.9
JADES 15457 53.067296 -27.838335 6.43 0 -1.87 0.67 1.58 0.12 26.16 28.93 -17.87
JADES 16024 53.042427 -27.841818 4.69 0 -2.06 0.21 1.88 0.06 23.73 27.63 -18.66
JADES 17724 53.034904 -27.852188 4.36 0 -1.49 0.12 0.27 0.04 25.37 27.7 -18.47
JADES 17876 53.096419 -27.85309 5.29 0 -1.81 0.24 1.08 0.07 26.99 29.26 -17.23
JADES 18065 53.046014 -27.853993 8.14 0 -1.74 0.2 2.14 0.17 26.43 28.12 -19.05
JADES 19110 53.115315 -27.859219 3.7 0 -1.71 0.21 -0.01 0.06 25.36 28.18 -17.71
JADES 20532 53.124768 -27.866299 4.51 0 -1.38 0.11 0.52 0.04 24.37 27.39 -18.84
JADES 21540 53.064114 -27.870933 5.41 0 -2.67 0.42 1.89 0.07 25.84 28.34 -18.19
JADES 21598 53.087731 -27.871244 4.72 0 -1.81 0.31 1.14 0.07 26.86 28.99 -17.31
JADES 21925 53.08683 -27.873056 3.1 0 -1.41 0.14 1.27 0.03 22.69 26.99 -18.59
